actors,splitWidth,splitHeight,timeExecution,outputPath
1,1,1,152,output_images/final_1709208571110.png
1,1,1,283,output_images/final_1709208572126.png
1,1,1,184,output_images/final_1709208574174.png
1,1,1,156,output_images/final_1709208575056.png
1,1,1,161,output_images/final_1709208575882.png
1,1,1,243,output_images/final_1709208576967.png
1,1,1,211,output_images/final_1709208577937.png
1,1,1,187,output_images/final_1709208579041.png
1,1,1,161,output_images/final_1709208579908.png
1,1,1,180,output_images/final_1709208580787.png
1,1,1,161,output_images/final_1709208581745.png
1,1,1,176,output_images/final_1709208582670.png
1,1,1,223,output_images/final_1709208583719.png
1,1,1,179,output_images/final_1709208584654.png
1,1,1,220,output_images/final_1709208585664.png
1,1,1,235,output_images/final_1709208586755.png
1,1,1,223,output_images/final_1709208587862.png
1,1,1,232,output_images/final_1709208589019.png
1,1,1,149,output_images/final_1709208589846.png
1,1,1,285,output_images/final_1709208590685.png
2,2,1,171,output_images/final_1709208591564.png
2,2,1,217,output_images/final_1709208592400.png
2,2,1,281,output_images/final_1709208594114.png
2,2,1,186,output_images/final_1709208595158.png
2,2,1,221,output_images/final_1709208596236.png
2,2,1,214,output_images/final_1709208597427.png
2,2,1,232,output_images/final_1709208598894.png
2,2,1,249,output_images/final_1709208600167.png
2,2,1,220,output_images/final_1709208601425.png
2,2,1,243,output_images/final_1709208602702.png
2,2,1,293,output_images/final_1709208604422.png
2,2,1,294,output_images/final_1709208606017.png
2,2,1,378,output_images/final_1709208607790.png
2,2,1,136,output_images/final_1709208608851.png
2,2,1,148,output_images/final_1709208609737.png
2,2,1,181,output_images/final_1709208610626.png
2,2,1,170,output_images/final_1709208611563.png
2,2,1,158,output_images/final_1709208612418.png
2,2,1,251,output_images/final_1709208613326.png
2,2,1,150,output_images/final_1709208614244.png
4,4,1,359,output_images/final_1709208615633.png
4,4,1,161,output_images/final_1709208617198.png
4,4,1,148,output_images/final_1709208618060.png
4,4,1,157,output_images/final_1709208619004.png
4,4,1,152,output_images/final_1709208619816.png
4,4,1,160,output_images/final_1709208620740.png
4,4,1,183,output_images/final_1709208621578.png
4,4,1,182,output_images/final_1709208622527.png
4,4,1,220,output_images/final_1709208623542.png
4,4,1,140,output_images/final_1709208624408.png
4,4,1,140,output_images/final_1709208625145.png
4,4,1,187,output_images/final_1709208626288.png
4,4,1,247,output_images/final_1709208627402.png
4,4,1,220,output_images/final_1709208628947.png
4,4,1,292,output_images/final_1709208630514.png
4,4,1,263,output_images/final_1709208631912.png
4,4,1,318,output_images/final_1709208633718.png
4,4,1,269,output_images/final_1709208634716.png
4,4,1,143,output_images/final_1709208635868.png
4,4,1,187,output_images/final_1709208637169.png
6,3,2,166,output_images/final_1709208637981.png
6,3,2,145,output_images/final_1709208639169.png
6,3,2,151,output_images/final_1709208640263.png
6,3,2,261,output_images/final_1709208641204.png
6,3,2,141,output_images/final_1709208642214.png
6,3,2,152,output_images/final_1709208643502.png
6,3,2,221,output_images/final_1709208644570.png
6,3,2,136,output_images/final_1709208645408.png
6,3,2,239,output_images/final_1709208646791.png
6,3,2,132,output_images/final_1709208647582.png
6,3,2,157,output_images/final_1709208648664.png
6,3,2,367,output_images/final_1709208649710.png
6,3,2,138,output_images/final_1709208650625.png
6,3,2,148,output_images/final_1709208651720.png
6,3,2,280,output_images/final_1709208652793.png
6,3,2,210,output_images/final_1709208654055.png
6,3,2,251,output_images/final_1709208655362.png
6,3,2,200,output_images/final_1709208656572.png
6,3,2,156,output_images/final_1709208657947.png
6,3,2,138,output_images/final_1709208658867.png
8,4,2,161,output_images/final_1709208659749.png
8,4,2,148,output_images/final_1709208660578.png
8,4,2,256,output_images/final_1709208661597.png
8,4,2,150,output_images/final_1709208662827.png
8,4,2,147,output_images/final_1709208663772.png
8,4,2,141,output_images/final_1709208664524.png
8,4,2,146,output_images/final_1709208665257.png
8,4,2,138,output_images/final_1709208666023.png
8,4,2,294,output_images/final_1709208667044.png
8,4,2,165,output_images/final_1709208668050.png
8,4,2,197,output_images/final_1709208669243.png
8,4,2,351,output_images/final_1709208670619.png
8,4,2,249,output_images/final_1709208672178.png
8,4,2,273,output_images/final_1709208673334.png
8,4,2,211,output_images/final_1709208674472.png
8,4,2,212,output_images/final_1709208675640.png
8,4,2,212,output_images/final_1709208676922.png
8,4,2,199,output_images/final_1709208678127.png
8,4,2,296,output_images/final_1709208679673.png
8,4,2,336,output_images/final_1709208681590.png
10,5,2,164,output_images/final_1709208682978.png
10,5,2,145,output_images/final_1709208683862.png
10,5,2,162,output_images/final_1709208684732.png
10,5,2,146,output_images/final_1709208685883.png
10,5,2,186,output_images/final_1709208686726.png
10,5,2,172,output_images/final_1709208687628.png
10,5,2,217,output_images/final_1709208688615.png
10,5,2,178,output_images/final_1709208689482.png
10,5,2,168,output_images/final_1709208690296.png
10,5,2,184,output_images/final_1709208691231.png
10,5,2,171,output_images/final_1709208692165.png
10,5,2,243,output_images/final_1709208693305.png
10,5,2,149,output_images/final_1709208694380.png
10,5,2,156,output_images/final_1709208695190.png
10,5,2,167,output_images/final_1709208696035.png
10,5,2,167,output_images/final_1709208696918.png
10,5,2,136,output_images/final_1709208697775.png
10,5,2,156,output_images/final_1709208698559.png
10,5,2,155,output_images/final_1709208699364.png
10,5,2,113,output_images/final_1709472907482.png
10,5,2,92,output_images/final_1709472970654.png
10,5,2,89,output_images/final_1709472989023.png
